media_id,media_type,file_name,file_path,file_size,search_confidence,height,width,url,cluster_id,captions,image_labels,object_labels,issues
c4027963-5526-4b72-a82e-7df82e831ac3,image,healthy_test.15.jpg,healthy_test.15.jpg,66.18KB,0.2774005619744734,500,500,http://app.visual-layer.com/dataset/bc41491e-78ae-11ef-ba4b-8a774758b536/data/image/c4027963-5526-4b72-a82e-7df82e831ac3,05b2a5a7-f5d6-4f96-b354-56efbeb9784c,a person holding a leaf with a green leaf,healthy(User),"plant[44, 0, 445, 500]; person[0, 440, 242, 60]",mislabels:bean_rust(0.232)
3f8c1a1b-807f-4119-876a-41f51cd8ad07,image,healthy_test.8.jpg,healthy_test.8.jpg,64.80KB,0.2420087452730132,500,500,http://app.visual-layer.com/dataset/bc41491e-78ae-11ef-ba4b-8a774758b536/data/image/3f8c1a1b-807f-4119-876a-41f51cd8ad07,05b2a5a7-f5d6-4f96-b354-56efbeb9784c,a person holding a leaf with a green leaf,healthy(User),"plant[48, 0, 398, 483]; person[1, 370, 277, 129]",mislabels:angular_leaf_spot(0.230)
34453585-3f81-4902-b43c-842262a5133e,image,healthy_train.112.jpg,healthy_train.112.jpg,62.13KB,0.2759252708920371,500,500,http://app.visual-layer.com/dataset/bc41491e-78ae-11ef-ba4b-8a774758b536/data/image/34453585-3f81-4902-b43c-842262a5133e,05b2a5a7-f5d6-4f96-b354-56efbeb9784c,a person holding a leaf with a green leaf,healthy(User),"plant[3, 0, 403, 482]; person[1, 232, 328, 268]",mislabels:(0.000)
8ef5a01a-d54e-491b-99f6-f672c4742c0c,image,healthy_train.119.jpg,healthy_train.119.jpg,56.88KB,0.24075388125899455,500,500,http://app.visual-layer.com/dataset/bc41491e-78ae-11ef-ba4b-8a774758b536/data/image/8ef5a01a-d54e-491b-99f6-f672c4742c0c,05b2a5a7-f5d6-4f96-b354-56efbeb9784c,a person holding a leaf with a green leaf,healthy(User),"person[0, 199, 65, 301]; person[0, 1, 326, 190]; person[1, 202, 301, 298]",mislabels:bean_rust(0.238)
f6ba286b-1863-4865-badf-45e64ea020a0,image,healthy_train.125.jpg,healthy_train.125.jpg,58.17KB,0.29397145868614416,500,500,http://app.visual-layer.com/dataset/bc41491e-78ae-11ef-ba4b-8a774758b536/data/image/f6ba286b-1863-4865-badf-45e64ea020a0,05b2a5a7-f5d6-4f96-b354-56efbeb9784c,a person holding a leaf in front of a plant,healthy(User),"person[0, 276, 301, 224]; plant[11, 0, 401, 469]",mislabels:bean_rust(0.223)
b5022a7f-eada-4ce1-bd07-f634de0ef3f7,image,healthy_train.133.jpg,healthy_train.133.jpg,71.34KB,0.2591753845914512,500,500,http://app.visual-layer.com/dataset/bc41491e-78ae-11ef-ba4b-8a774758b536/data/image/b5022a7f-eada-4ce1-bd07-f634de0ef3f7,05b2a5a7-f5d6-4f96-b354-56efbeb9784c,a leaf of a plant,healthy(User),"plant[20, 0, 421, 500]; person[0, 356, 170, 144]",mislabels:bean_rust(0.228)
a88d87ac-6bdd-4343-a1fe-5b28b2d2ade7,image,healthy_train.141.jpg,healthy_train.141.jpg,67.86KB,0.26853729469367327,500,500,http://app.visual-layer.com/dataset/bc41491e-78ae-11ef-ba4b-8a774758b536/data/image/a88d87ac-6bdd-4343-a1fe-5b28b2d2ade7,05b2a5a7-f5d6-4f96-b354-56efbeb9784c,a person holding a leaf in front of a field,healthy(User),"plant[31, 30, 362, 411]; person[1, 405, 303, 95]",mislabels:angular_leaf_spot(0.251)
1f2785e3-c15d-488a-bdb6-27e641a54341,image,healthy_train.143.jpg,healthy_train.143.jpg,69.81KB,0.23039184447499683,500,500,http://app.visual-layer.com/dataset/bc41491e-78ae-11ef-ba4b-8a774758b536/data/image/1f2785e3-c15d-488a-bdb6-27e641a54341,05b2a5a7-f5d6-4f96-b354-56efbeb9784c,a person holding a leaf in front of a field,healthy(User),"plant[54, 1, 386, 474]; person[1, 384, 222, 116]",mislabels:(0.000)
7037d15d-a4bb-40a5-a0db-9b9655c3a4cf,image,healthy_train.158.jpg,healthy_train.158.jpg,69.88KB,0.2998501872310244,500,500,http://app.visual-layer.com/dataset/bc41491e-78ae-11ef-ba4b-8a774758b536/data/image/7037d15d-a4bb-40a5-a0db-9b9655c3a4cf,05b2a5a7-f5d6-4f96-b354-56efbeb9784c,a person holding a leaf in front of a plant,healthy(User),"plant[1, 0, 434, 436]; person[1, 364, 284, 135]",mislabels:angular_leaf_spot(0.229)
358bd563-9287-4176-9588-42e1c09d9ace,image,healthy_train.159.jpg,healthy_train.159.jpg,75.34KB,0.2750034975775051,500,500,http://app.visual-layer.com/dataset/bc41491e-78ae-11ef-ba4b-8a774758b536/data/image/358bd563-9287-4176-9588-42e1c09d9ace,05b2a5a7-f5d6-4f96-b354-56efbeb9784c,a person holding a leaf with a green spot on it,healthy(User),"plant[2, 0, 497, 499]; person[1, 349, 153, 151]",mislabels:bean_rust(0.231)
