media_id,media_type,file_name,file_path,file_size,height,width,url,cluster_id,captions,image_labels,object_labels,issues
c4027963-5526-4b72-a82e-7df82e831ac3,image,healthy_test.15.jpg,healthy_test.15.jpg,66.18KB,500,500,http://app.visual-layer.com/dataset/bc41491e-78ae-11ef-ba4b-8a774758b536/data/image/c4027963-5526-4b72-a82e-7df82e831ac3,05b2a5a7-f5d6-4f96-b354-56efbeb9784c,a person holding a leaf with a green leaf,healthy(User),"plant[44, 0, 445, 500]; person[0, 440, 242, 60]",mislabels:bean_rust(0.232)
cb944d90-deb0-44f6-893c-01d6d4495778,image,healthy_test.16.jpg,healthy_test.16.jpg,57.48KB,500,500,http://app.visual-layer.com/dataset/bc41491e-78ae-11ef-ba4b-8a774758b536/data/image/cb944d90-deb0-44f6-893c-01d6d4495778,05b2a5a7-f5d6-4f96-b354-56efbeb9784c,a person holding a leaf with green leaves,healthy(User),"person[0, 407, 156, 93]; plant[0, 0, 500, 499]",mislabels:bean_rust(0.228)
142ecbd0-03c3-4a0c-9751-47bcd47c3eba,image,healthy_test.31.jpg,healthy_test.31.jpg,69.79KB,500,500,http://app.visual-layer.com/dataset/bc41491e-78ae-11ef-ba4b-8a774758b536/data/image/142ecbd0-03c3-4a0c-9751-47bcd47c3eba,05b2a5a7-f5d6-4f96-b354-56efbeb9784c,a person holding a leaf in front of a field,healthy(User),"plant[33, 15, 414, 437]; person[96, 417, 296, 83]",mislabels:bean_rust(0.234)
3f8c1a1b-807f-4119-876a-41f51cd8ad07,image,healthy_test.8.jpg,healthy_test.8.jpg,64.80KB,500,500,http://app.visual-layer.com/dataset/bc41491e-78ae-11ef-ba4b-8a774758b536/data/image/3f8c1a1b-807f-4119-876a-41f51cd8ad07,05b2a5a7-f5d6-4f96-b354-56efbeb9784c,a person holding a leaf with a green leaf,healthy(User),"plant[48, 0, 398, 483]; person[1, 370, 277, 129]",mislabels:angular_leaf_spot(0.230)
4d716032-91b8-4005-9184-29a871011f3b,image,healthy_train.101.jpg,healthy_train.101.jpg,64.50KB,500,500,http://app.visual-layer.com/dataset/bc41491e-78ae-11ef-ba4b-8a774758b536/data/image/4d716032-91b8-4005-9184-29a871011f3b,05b2a5a7-f5d6-4f96-b354-56efbeb9784c,a person holding a leaf with a green leaf,healthy(User),"person[168, 440, 216, 60]",mislabels:bean_rust(0.226)
34453585-3f81-4902-b43c-842262a5133e,image,healthy_train.112.jpg,healthy_train.112.jpg,62.13KB,500,500,http://app.visual-layer.com/dataset/bc41491e-78ae-11ef-ba4b-8a774758b536/data/image/34453585-3f81-4902-b43c-842262a5133e,05b2a5a7-f5d6-4f96-b354-56efbeb9784c,a person holding a leaf with a green leaf,healthy(User),"plant[3, 0, 403, 482]; person[1, 232, 328, 268]",mislabels:(0.000)
5247fc4c-eda0-4953-a087-ffb8d17bfed3,image,healthy_train.115.jpg,healthy_train.115.jpg,70.32KB,500,500,http://app.visual-layer.com/dataset/bc41491e-78ae-11ef-ba4b-8a774758b536/data/image/5247fc4c-eda0-4953-a087-ffb8d17bfed3,05b2a5a7-f5d6-4f96-b354-56efbeb9784c,a person holding a green leaf in front of a field,healthy(User),"person[1, 401, 286, 98]; plant[46, 1, 452, 491]",mislabels:bean_rust(0.230)
8ef5a01a-d54e-491b-99f6-f672c4742c0c,image,healthy_train.119.jpg,healthy_train.119.jpg,56.88KB,500,500,http://app.visual-layer.com/dataset/bc41491e-78ae-11ef-ba4b-8a774758b536/data/image/8ef5a01a-d54e-491b-99f6-f672c4742c0c,05b2a5a7-f5d6-4f96-b354-56efbeb9784c,a person holding a leaf with a green leaf,healthy(User),"person[0, 199, 65, 301]; person[0, 1, 326, 190]; person[1, 202, 301, 298]",mislabels:bean_rust(0.238)
b49626fe-0155-49eb-8c40-3edc286b13e9,image,healthy_train.121.jpg,healthy_train.121.jpg,65.31KB,500,500,http://app.visual-layer.com/dataset/bc41491e-78ae-11ef-ba4b-8a774758b536/data/image/b49626fe-0155-49eb-8c40-3edc286b13e9,05b2a5a7-f5d6-4f96-b354-56efbeb9784c,a person holding a leaf in front of a plant,healthy(User),"plant[45, 9, 363, 490]; person[0, 411, 149, 89]",mislabels:angular_leaf_spot(0.232)
f6ba286b-1863-4865-badf-45e64ea020a0,image,healthy_train.125.jpg,healthy_train.125.jpg,58.17KB,500,500,http://app.visual-layer.com/dataset/bc41491e-78ae-11ef-ba4b-8a774758b536/data/image/f6ba286b-1863-4865-badf-45e64ea020a0,05b2a5a7-f5d6-4f96-b354-56efbeb9784c,a person holding a leaf in front of a plant,healthy(User),"person[0, 276, 301, 224]; plant[11, 0, 401, 469]",mislabels:bean_rust(0.223)
